기준_년분기_코드	상권_구분_코드	상권_구분_코드_명	상권_코드	상권_코드_명	서비스_업종_코드	서비스_업종_코드_명	당월_매출_금액	당월_매출_건수	주중_매출_금액	주말_매출_금액	월요일_매출_금액	화요일_매출_금액	수요일_매출_금액	목요일_매출_금액	금요일_매출_금액	토요일_매출_금액	일요일_매출_금액	시간대_00~06_매출_금액	시간대_06~11_매출_금액	시간대_11~14_매출_금액	시간대_14~17_매출_금액	시간대_17~21_매출_금액	시간대_21~24_매출_금액	남성_매출_금액	여성_매출_금액	연령대_10_매출_금액	연령대_20_매출_금액	연령대_30_매출_금액	연령대_40_매출_금액	연령대_50_매출_금액	연령대_60_이상_매출_금액	주중_매출_건수	주말_매출_건수	월요일_매출_건수	화요일_매출_건수	수요일_매출_건수	목요일_매출_건수	금요일_매출_건수	토요일_매출_건수	일요일_매출_건수	시간대_건수~06_매출_건수	시간대_건수~11_매출_건수	시간대_건수~14_매출_건수	시간대_건수~17_매출_건수	시간대_건수~21_매출_건수	시간대_건수~24_매출_건수	남성_매출_건수	여성_매출_건수	연령대_10_매출_건수	연령대_20_매출_건수	연령대_30_매출_건수	연령대_40_매출_건수	연령대_50_매출_건수	연령대_60_이상_매출_건수	아이디	상권명	시도명	시군구명	읍면동명	면적	업체수	위도	경도	데이터기준일자	이미지명	Conversion	RelSales	최소유동	최대유동	TimeRatio	ColdSpot
20241	A	골목상권	3110205	경희대삼거리	CS100001	한식음식점	1799964285	37530	1266734581	533229704	221112139	247939814	254257077	237890670	305534881	321329108	211900596	45336212	2380957	178385526	114064975	965651863	494144752	1051762694	625470122	9097567	526585609	455982306	231654130	305339469	148573737	26773	10757	4786	5334	5761	4902	5990	6445	4312	690	200	6307	3344	18715	8274	21212	15114	231	11634	9066	5008	6912	3473	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	47960.6790567546	1.7389605309827894	2380957	965651863	405.5729956483884	1
20241	A	골목상권	3110205	경희대삼거리	CS100002	중식음식점	118804180	3378	100415266	18388914	12277147	9703771	23964562	33346660	21123126	18388914	0	0	0	27663790	22302590	67497500	1340300	59562926	47446615	0	32542481	45784643	3645616	19997274	5039527	2895	483	484	429	590	643	749	483	0	0	0	912	697	1715	54	2358	911	0	643	2091	107	375	54	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	35169.976317347544	0.815227183367656	1	67497500	67497500	1
20241	A	골목상권	3110205	경희대삼거리	CS100003	일식음식점	80414565	1377	63280120	17134445	8480045	13339531	13186480	13894559	14379505	17134445	0	0	0	7644279	3839958	61449306	7481022	50315133	23536145	258494	21046774	22819161	12828823	12242300	4655725	1209	168	230	242	269	275	193	168	0	0	0	424	120	758	75	703	630	18	575	303	136	233	67	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	58398.37690631808	0.8392356602266726	1	61449306	61449306	1
20241	A	골목상권	3110205	경희대삼거리	CS100004	양식음식점	18101158	993	11613739	6487419	1734170	2860782	1857652	2453657	2707478	3590733	2896686	0	0	6105020	2657070	8415124	923944	9563200	6176587	0	3579368	4547087	2615113	4513528	484689	719	274	109	158	148	154	150	180	94	0	0	387	143	427	36	576	358	0	265	252	100	302	16	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	18228.759315206444	0.7354423597307848	1	8415124	8415124	1
20241	A	골목상권	3110205	경희대삼거리	CS100005	제과점	10044313	1205	8138496	1905817	948423	1308568	1058645	2067306	2755554	902283	1003534	0	19225	2012195	3005476	4871562	135855	1907099	8137214	635700	5775126	1951958	654925	872806	153798	962	243	153	128	129	243	309	153	90	0	13	167	294	705	26	307	898	90	678	192	102	117	26	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	8335.529460580912	0.9893327223248299	1	4871562	4871562	1
20241	A	골목상권	3110205	경희대삼거리	CS100006	패스트푸드점	20693753	1346	13562449	7131304	787062	3279223	2702699	3989172	2804293	3017278	4114026	0	0	472482	4063839	14314016	1843416	9849188	10844565	477516	6370472	4116818	2810526	5256932	1661489	869	477	61	208	196	209	195	208	269	0	0	24	257	919	146	630	716	37	457	296	184	297	75	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	15374.259286775632	0.4073556238210885	1	14314016	14314016	1
20241	A	골목상권	3110205	경희대삼거리	CS100007	치킨전문점	15298478	685	12086011	3212467	919873	1269972	2885892	3452207	3558067	2955774	256693	1449520	0	0	456650	6631462	6760846	11227371	4071107	281947	5975547	3296184	2058386	1358189	2328225	525	160	42	83	139	96	165	139	21	42	0	0	42	324	277	498	187	14	309	132	111	70	49	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	22333.544525547444	1.3716015974203435	1	6760846	6760846	1
20241	A	골목상권	3110205	경희대삼거리	CS100008	분식전문점	23510734	2984	16258228	7252506	3464443	3175578	3195141	2963133	3459933	3150232	4102274	460533	530433	6186826	4594329	8455683	3282930	9469554	13849336	746120	8111157	4597920	5365234	3214289	1284170	2172	812	409	550	467	340	406	406	406	79	61	735	653	1096	360	1037	1934	69	1391	589	536	288	98	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	7878.932305630027	0.15689628822786764	460533	8455683	18.360645165493025	1
20241	A	골목상권	3110205	경희대삼거리	CS100009	호프-간이주점	1241624418	25287	866667457	374956961	125909633	152316494	177285840	229696733	181458757	221287102	153669859	203201707	0	17177217	14351059	335860553	671033882	666944572	549987233	11622607	610530214	270795285	116138023	160593211	47252467	17439	7848	2730	3093	3063	4742	3811	4621	3227	3637	0	527	194	7214	13715	13065	11957	271	13523	5493	2013	2824	897	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	49101.29386641357	4.3043468053719005	1	671033882	671033882	1
20241	A	골목상권	3110205	경희대삼거리	CS100010	커피-음료	137006271	14526	93528769	43477502	16224199	19362401	18606801	18739012	20596356	22296774	21180728	0	1314138	34235427	37151024	58767377	5538305	48026313	87624752	1631244	72448256	29552377	10603913	14320425	7094851	10268	4258	1839	2192	1932	2111	2194	2115	2143	0	167	3721	4164	5970	504	4952	9506	211	8037	3104	959	1423	723	U01	경희대삼거리	서울특별시	서울특별시 동대문구	회기동	826843	125	37.59077636	127.0510474	2022-12-12	U01_0001_경희대삼거리	9431.796158612144	1.0429609260284396	1	58767377	58767377	1
